Credit_History,Married,CoapplicantIncome
1.0,1,2223.0
1.0,1,0.0
1.0,1,1842.0
1.0,1,3274.0
1.0,1,1300.0
1.0,1,0.0
0.0,1,0.0
0.0,0,2426.0
1.0,1,800.0
1.0,1,985.7999878
1.0,0,1666.0
1.0,1,0.0
1.0,0,3053.0
1.0,0,1717.0
1.0,1,2000.0
1.0,0,0.0
1.0,0,0.0
1.0,1,2416.0
0.0,1,0.0
1.0,1,1560.0
0.0,0,0.0
1.0,1,3334.0
1.0,1,1250.0
1.0,1,0.0
1.0,1,0.0
1.0,0,2541.0
1.0,1,2925.0
0.0,1,2934.0
1.0,1,1750.0
1.0,0,0.0
1.0,1,1803.0
1.0,0,2500.0
1.0,0,0.0
1.0,0,1666.0
0.0,0,1863.0
1.0,0,0.0
1.0,1,0.0
1.0,0,0.0
1.0,0,2405.0
1.0,0,0.0
1.0,1,0.0
1.0,1,1843.0
1.0,1,1640.0
1.0,1,0.0
1.0,1,2134.0
1.0,0,0.0
1.0,1,0.0
1.0,1,2167.0
1.0,1,189.0
1.0,1,1590.0
1.0,0,2985.0
1.0,1,0.0
0.0,1,4983.0
0.0,0,0.0
1.0,1,2160.0
1.0,1,2451.0
1.0,0,0.0
1.0,0,1793.0
1.0,0,0.0
1.0,0,0.0
1.0,1,0.0
1.0,1,1833.0
1.0,1,4490.0
1.0,1,688.0
1.0,1,4600.0
0.0,0,0.0
1.0,0,0.0
1.0,1,1587.0
1.0,0,0.0
1.0,1,1229.0
1.0,1,0.0
1.0,1,2330.0
1.0,1,2458.0
0.0,1,3230.0
1.0,1,2168.0
1.0,1,4583.0
1.0,1,6250.0
1.0,1,0.0
1.0,0,4167.0
1.0,1,2083.0
0.0,1,0.0
1.0,1,505.0
1.0,0,0.0
1.0,1,3167.0
1.0,1,0.0
0.0,1,1666.0
1.0,1,3167.0
1.0,0,0.0
1.0,1,3667.0
1.0,1,2333.0
1.0,1,3033.0
1.0,0,0.0
1.0,0,0.0
1.0,0,0.0
0.0,0,0.0
1.0,1,0.0
1.0,1,5266.0
1.0,0,0.0
1.0,1,0.0
1.0,1,7873.0
0.0,0,1987.0
1.0,0,1459.0
1.0,1,923.0
1.0,1,4996.0
1.0,1,0.0
1.0,0,0.0
1.0,1,0.0
1.0,1,2500.0
1.0,0,4232.0
1.0,0,0.0
1.0,0,0.0
1.0,1,0.0
1.0,0,0.0
1.0,0,1600.0
0.0,1,3136.0
1.0,1,2417.0
1.0,1,0.0
1.0,0,0.0
1.0,1,0.0
1.0,1,2115.0
1.0,1,1625.0
1.0,1,1400.0
0.0,1,484.0
0.0,0,0.0
1.0,1,1459.0
1.0,0,1666.0
0.0,0,1800.0
0.0,1,0.0
1.0,0,0.0
1.0,0,20000.0
1.0,0,0.0
1.0,0,0.0
1.0,0,0.0
1.0,1,2400.0
1.0,0,0.0
0.0,1,0.0
0.0,1,0.0
1.0,0,0.0
0.0,1,0.0
0.0,1,0.0
1.0,1,2033.0
0.0,1,3237.0
1.0,0,0.0
1.0,0,0.0
1.0,1,20000.0
1.0,1,2773.0
1.0,1,1417.0
1.0,1,0.0
0.0,0,0.0
1.0,1,1719.0
0.0,1,1667.0
1.0,1,0.0
1.0,1,4300.0
1.0,0,0.0
1.0,1,0.0
1.0,1,16.12000084
1.0,0,0.0
1.0,0,0.0
0.0,0,0.0
1.0,0,0.0
1.0,1,2340.0
1.0,0,0.0
1.0,1,0.0
1.0,0,1851.0
1.0,1,1125.0
0.0,0,0.0
1.0,1,0.0
1.0,0,5064.0
1.0,1,1833.0
1.0,0,1993.0
1.0,0,0.0
1.0,1,8333.0
1.0,1,1210.0
1.0,1,0.0
1.0,1,1376.0
0.0,1,1710.0
0.0,0,1542.0
0.0,1,1255.0
0.0,1,1456.0
0.0,1,1733.0
0.0,1,2466.0
1.0,0,0.0
1.0,1,0.0
1.0,1,0.0
1.0,1,2569.0
1.0,0,0.0
1.0,1,0.0
1.0,1,4083.0
1.0,1,0.0
1.0,1,2188.0
1.0,0,0.0
0.0,0,0.0
1.0,0,0.0
0.0,1,1664.0
1.0,1,0.0
1.0,1,2917.0
1.0,1,2451.0
1.0,1,2079.0
0.0,1,1500.0
1.0,1,0.0
1.0,0,0.0
1.0,0,4648.0
1.0,1,1014.0
1.0,1,1750.0
0.0,1,1872.0
1.0,1,2250.0
1.0,1,1603.0
1.0,0,0.0
1.0,1,0.0
1.0,1,3150.0
1.0,1,0.0
1.0,1,0.0
1.0,1,2436.0
0.0,0,0.0
1.0,1,0.0
1.0,1,2083.0
1.0,0,0.0
1.0,0,2785.0
1.0,1,1131.0
1.0,0,0.0
1.0,0,0.0
0.0,1,2157.0
1.0,1,913.0
1.0,1,1700.0
1.0,1,2857.0
1.0,1,0.0
0.0,0,4416.0
1.0,0,3683.0
1.0,0,0.0
1.0,1,5624.0
1.0,1,5302.0
1.0,1,1483.0
1.0,1,4416.0
1.0,1,6667.0
1.0,0,0.0
1.0,1,3013.0
1.0,0,0.0
1.0,0,1287.0
1.0,1,2004.0
1.0,1,2035.0
1.0,1,6666.0
1.0,0,3666.0
1.0,1,3428.0
1.0,1,1632.0
0.0,1,1800.0
1.0,0,1915.0
1.0,0,0.0
1.0,1,1742.0
1.0,0,0.0
1.0,1,1424.0
1.0,1,7166.0
1.0,0,2087.0
1.0,1,0.0
1.0,1,0.0
0.0,1,1430.0
1.0,0,1302.0
1.0,0,0.0
1.0,1,5500.0
1.0,1,0.0
0.0,0,0.0
1.0,0,0.0
1.0,0,0.0
1.0,0,2042.0
1.0,1,3906.0
1.0,0,0.0
1.0,1,536.0
1.0,1,0.0
1.0,1,2845.0
0.0,0,0.0
1.0,0,0.0
1.0,1,2524.0
1.0,1,663.0
1.0,1,1950.0
1.0,0,0.0
1.0,0,1783.0
0.0,0,0.0
1.0,1,2016.0
0.0,1,0.0
1.0,1,2375.0
1.0,1,3250.0
0.0,1,2333.0
0.0,1,4266.0
1.0,1,1032.0
1.0,0,1625.0
1.0,1,0.0
1.0,1,2669.0
1.0,1,2306.0
1.0,1,242.0
1.0,1,0.0
1.0,1,2054.0
1.0,0,0.0
0.0,1,0.0
1.0,1,0.0
1.0,0,0.0
0.0,1,2500.0
1.0,0,0.0
0.0,1,2064.0
1.0,1,1750.0
0.0,1,1451.0
1.0,1,0.0
1.0,1,1625.0
1.0,1,0.0
1.0,1,461.0
0.0,1,2210.0
1.0,0,2739.0
1.0,1,2232.0
1.0,0,2917.0
1.0,1,0.0
1.0,0,33837.0
1.0,1,0.0
0.0,1,0.0
0.0,1,1917.0
1.0,1,3000.0
1.0,1,1522.0
1.0,0,0.0
1.0,0,0.0
0.0,1,0.0
1.0,1,3416.0
1.0,1,0.0
1.0,0,0.0
1.0,1,3300.0
1.0,1,0.0
1.0,0,0.0
1.0,1,1000.0
0.0,0,0.0
1.0,1,0.0
1.0,1,0.0
1.0,0,41667.0
1.0,1,2792.0
1.0,1,0.0
1.0,0,4301.0
1.0,1,0.0
1.0,1,3800.0
1.0,1,2500.0
1.0,1,1411.0
1.0,1,1950.0
1.0,0,0.0
1.0,1,0.0
1.0,1,240.0
1.0,1,0.0
0.0,0,0.0
